序号,题名,作者,来源,发表时间,数据库,被引,下载
86,中国行业性行政垄断的强度与效率损失研究,于良春 张伟,经济研究,2010-03-20,期刊,162,5265
87,提升企业内部控制有效性的重要制度安排——关于实施企业内部控制注册会计师审计的有关问题,刘玉廷 王宏,会计研究,2010-07-15,期刊,161,5678
88,行业是如何影响收入的——基于多层线性模型的分析,王天夫 崔晓雄,中国社会科学,2010-09-10,期刊,80,3936
89,技能偏向型技术进步存在吗?——来自中国的经验证据,宋冬林 王林辉 董直庆,经济研究,2010-05-20,期刊,132,3430
90,过度需求还是有效需求?——城镇老人健康与医疗保险的实证分析,黄枫 甘犁,经济研究,2010-06-20,期刊,93,5271
91,企业社会责任信息披露与资本成本的互动关系——基于信息不对称视角的一个分析框架,孟晓俊 肖作平 曲佳莉,会计研究,2010-09-15,期刊,242,7545
92,内部控制信息披露与IPO抑价——深圳中小板市场的实证研究,邱冬阳 陈林 孟卫东,会计研究,2010-10-15,期刊,138,5691
93,包容性增长理论的脉络、要义与政策内涵,杜志雄 肖卫东 詹琳,中国农村经济,2010-11-30,期刊,114,2556
94,土地流转与农业现代化,北京天则经济研究所《中国土地问题》课题组 张曙光,管理世界,2010-07-15,期刊,133,12993
95,计划生育政策的储蓄与增长效应:理论与中国的经验分析,汪伟,经济研究,2010-10-20,期刊,64,3929
96,中国上市银行股权结构与经营绩效的实证分析,谭兴民 宋增基 杨天赋,金融研究,2010-11-25,期刊,141,3836
97,城市化、产业效率与经济增长,中国经济增长与宏观稳定课题组 陈昌兵 张平 刘霞辉 张自然,经济研究,2009-10-20,期刊,247,9244
98,宏观经济因素与公司资本结构变动,苏冬蔚 曾海舰,经济研究,2009-12-20,期刊,267,7393
99,新型农村合作医疗保险对农村居民食物消费的影响分析,马双 臧文斌 甘犁,经济学(季刊),2010-10-15,期刊,76,3249
100,商业信用、融资约束及效率影响,石晓军 张顺明,经济研究,2010-01-20,期刊,203,7468
101,基于关系型贷款的大银行对小企业的贷款定价研究,邓超 敖宏 胡威 王翔,经济研究,2010-02-20,期刊,152,4682
102,治理机制对农民专业合作社绩效的影响——基于浙江省526家农民专业合作社的实证分析,徐旭初 吴彬,中国农村经济,2010-05-30,期刊,216,4459
103,中国对外贸易的环境影响效应:基于环境投入-产出模型的经验研究,彭水军 刘安平,世界经济,2010-05-10,期刊,140,3155
104,CEO权力强度、信息披露质量与公司业绩的波动性——基于深交所上市公司的实证研究,权小锋 吴世农,南开管理评论,2010-08-08,期刊,254,4978
105,生产性服务价值链嵌入与制造业升级的协同演进关系研究,刘明宇 芮明杰 姚凯,中国工业经济,2010-08-17,期刊,158,4291
106,财政分权、转移支付与国内市场整合,范子英 张军,经济研究,2010-03-20,期刊,161,6133
107,中国城市体系的“中心-外围模式”,许政 陈钊 陆铭,世界经济,2010-07-10,期刊,123,3940
108,金融发展与经济增长:来自中国的经验分析,武志,金融研究,2010-05-25,期刊,261,7957
109,内部控制鉴证:争论与选择,刘明辉,会计研究,2010-09-15,期刊,111,4004
110,从农村职业教育看人力资本对农村家庭的贡献——基于苏北农村家庭微观数据的实证分析,周亚虹 许玲丽 夏正青,经济研究,2010-08-20,期刊,92,4399
111,推广应用XBRL  推进会计信息化建设,刘玉廷,会计研究,2010-11-15,期刊,113,3834
112,中国区域创新生产的空间计量分析——基于静态与动态空间面板模型的实证研究,李婧 谭清美 白俊红,管理世界,2010-07-15,期刊,197,8860
113,我国上市公司高管背景特征与财务重述行为研究,何威风 刘启亮,管理世界,2010-07-15,期刊,255,7422
114,开放经济下我国非线性货币政策的非对称效应研究,王立勇 张代强 刘文革,经济研究,2010-09-20,期刊,70,3278
115,中国产出缺口的实时估计及其可靠性研究,郑挺国 王霞,经济研究,2010-10-20,期刊,68,2269
116,中国金融市场基准利率的培育——基于构建完整基准收益率曲线的实证分析,梁琪 张孝岩 过新伟,金融研究,2010-09-25,期刊,95,3339
117,投资者关注、盈余公告效应与管理层公告择机,权小锋 吴世农,金融研究,2010-11-25,期刊,92,2647
118,谁在挤占居民的收入——中国国民收入分配格局分析,白重恩 钱震杰,中国社会科学,2009-09-10,期刊,405,9175
119,国有企业的双重效率损失与经济增长,刘瑞明 石磊,经济研究,2010-01-20,期刊,223,6187
120,控制结构+企业文化:内部控制要素新二元论,王竹泉 隋敏,会计研究,2010-03-15,期刊,231,7130
121,中国区域经济差异与收敛,潘文卿,中国社会科学,2010-01-10,期刊,183,5146
122,金融集聚影响因素空间计量模型及其应用,任英华 徐玲 游万海,数量经济技术经济研究,2010-05-05,期刊,186,4961
123,发展战略与经济增长,徐朝阳 林毅夫,中国社会科学,2010-05-10,期刊,105,5470
124,中国入境旅游流网络结构特征及动因研究,刘法建 张捷 陈冬冬,地理学报,2010-08-15,期刊,108,3216
125,监管、多重代理与商业银行治理的最优激励契约设计,蒋海 朱滔 李东辉,经济研究,2010-04-20,期刊,106,4706
126,企业集团财务共享服务的流程再造关键因素研究——基于中兴通讯集团管理实践,张瑞君 陈虎 张永冀,会计研究,2010-07-15,期刊,150,5833
127,人民币汇率变动对我国贸易差额的动态影响,刘尧成 周继忠 徐晓萍,经济研究,2010-05-20,期刊,130,6331
128,美国次贷危机的流动性传导机制的金融分析,易宪容 王国刚,金融研究,2010-05-25,期刊,126,5457
129,中国通货膨胀的决定因素,黄益平 王勋 华秀萍,金融研究,2010-05-25,期刊,146,6959
130,商业银行的风险:规模和非利息收入——以美国为例,黄隽 章艳红,金融研究,2010-05-25,期刊,169,3750
131,政府限薪令与国有企业高管薪酬、业绩和运气关系的研究,沈艺峰 李培功,中国工业经济,2010-11-17,期刊,93,3435
132,FDI对我国工业自主创新能力的影响及机制——基于产业关联的视角,王然 燕波 邓伟根,中国工业经济,2010-11-17,期刊,103,2804
133,中国通货膨胀成因分解研究,赵昕东 耿鹏,数量经济技术经济研究,2010-10-05,期刊,84,3047
134,利率期限结构、通货膨胀预测与实际利率,李宏瑾 钟正生 李晓嘉,世界经济,2010-10-10,期刊,79,3234
135,高管的政治关联影响公司慈善行为吗?,贾明 张喆,管理世界,2010-04-15,期刊,226,5801
136,企业网络位置、吸收能力与创新绩效——一个交互效应模型,钱锡红 杨永福 徐万里,管理世界,2010-05-15,期刊,274,7052
137,任命制下的官员经济增长行为,徐现祥 王贤彬,经济学(季刊),2010-07-31,期刊,90,2267
138,经济增长、人口结构变化与中国高储蓄,汪伟,经济学(季刊),2009-10-15,期刊,177,6255
139,经济发展中的最优金融结构理论初探,林毅夫 孙希芳 姜烨,经济研究,2009-08-20,期刊,493,9211
140,R&D补贴对中国企业自主创新的激励效应,安同良 周绍东 皮建才,经济研究,2009-10-20,期刊,307,6995
141,能源价格上涨对中国一般价格水平的影响,林伯强 王锋,经济研究,2009-12-20,期刊,171,5279
142,城市工人与农民工的收入差距研究,田丰,社会学研究,2010-03-20,期刊,101,4957
143,交通基础设施与经济增长:中国区域差距的视角,刘生龙 胡鞍钢,中国工业经济,2010-04-17,期刊,203,4183
144,风险控制理论的再思考:基于对COSO内部控制理念的分析,刘霄仑,会计研究,2010-03-15,期刊,231,5953
145,人力资本与R&D如何影响全要素生产率——基于中国大中型工业企业的经验分析,夏良科,数量经济技术经济研究,2010-04-05,期刊,143,3085
146,低碳经济的概念辨识及核心要素分析,潘家华 庄贵阳 郑艳 朱守先 谢倩漪,国际经济评论,2010-07-27,期刊,289,7945
147,汇率传递理论文献综述,施建淮 傅雄广,世界经济,2010-05-10,期刊,86,4175
148,低碳经济的概念辨识及评价指标体系构建,付加锋 庄贵阳 高庆先,中国人口.资源与环境,2010-08-15,期刊,451,8078
149,中国农村金融发展与农民收入增长,余新平 熊皛白 熊德平,中国农村经济,2010-06-30,期刊,160,4978
150,中小企业协同创新网络与创新绩效的实证研究,解学梅,管理科学学报,2010-08-15,期刊,260,8740
151,区制转移形式的“泰勒规则”及其在中国货币政策中的应用,郑挺国 刘金全,经济研究,2010-03-20,期刊,115,3465
152,后危机时代公允价值会计的改革与重塑,黄世忠,会计研究,2010-06-15,期刊,139,4763
153,中国国债利率期限结构的风险特征及其内含信息研究,康书隆 王志强,世界经济,2010-07-10,期刊,89,2727
154,基于规则的商业模式研究——功能、结构与构建方法,李东 王翔 张晓玲 周晨,中国工业经济,2010-09-17,期刊,95,3936
155,政治关联、职位壕沟与高管变更——来自中国财务困境上市公司的经验证据,游家兴 徐盼盼 陈淑敏,金融研究,2010-04-25,期刊,162,4240
156,投资过度还是投资不足——基于A股上市公司的经验证据,周伟贤,中国工业经济,2010-09-17,期刊,112,2946
157,新会计准则、会计信息质量与股价同步性,金智,会计研究,2010-07-15,期刊,129,6688
158,直接干预市场与限制竞争:中国产业政策的取向与根本缺陷,江飞涛 李晓萍,中国工业经济,2010-09-17,期刊,109,2874
159,农村贫困的动态变化,罗楚亮,经济研究,2010-05-20,期刊,77,4573
160,信贷政策与公司资本结构,曾海舰 苏冬蔚,世界经济,2010-08-10,期刊,89,2146
161,机构投资者、企业产权与薪酬契约,张敏 姜付秀,世界经济,2010-08-10,期刊,112,2093
162,基于本土市场规模的内生化产业升级:技术创新的第三条道路,徐康宁 冯伟,中国工业经济,2010-11-17,期刊,91,2585
163,试论企业经营者股权激励与人力资本产权收益,向显湖 钟文,会计研究,2010-10-15,期刊,76,3102
164,企业内控规范实施机制的新制度经济学分析,缪艳娟,会计研究,2010-11-15,期刊,90,2443
165,关于公允价值本质的思考,董必荣,会计研究,2010-10-15,期刊,82,6267
166,中国如何在平衡中牺牲了效率:转移支付的视角,范子英 张军,世界经济,2010-11-10,期刊,66,2147
167,政府干预、内部人控制与公司投资,钟海燕 冉茂盛 文守逊,管理世界,2010-07-15,期刊,187,4887
168,金融发展、商业信用与产品市场竞争,余明桂 潘红波,管理世界,2010-08-15,期刊,158,4531
169,基于空间模型的金融支持与经济增长研究——来自中国省域1998～2008年的证据,方先明 孙爱军 曹源芳,金融研究,2010-10-25,期刊,91,2971
170,结构改革与中国工业增长,张军 陈诗一 Gary H.Jefferson,经济研究,2009-07-20,期刊,302,5803
171,社会资本、政治关系与公司投资决策,潘越 戴亦一 吴超鹏 刘建亮,经济研究,2009-11-20,期刊,202,7821
172,我国二氧化碳排放绩效的动态变化、区域差异及影响因素,王群伟 周鹏 周德群,中国工业经济,2010-01-17,期刊,301,4712
173,交通基础设施与中国全要素生产率增长——基于省域数据的空间面板计量分析,刘秉镰 武鹏 刘玉海,中国工业经济,2010-03-17,期刊,222,4435
174,产权性质、债务融资与会计稳健性——来自中国上市公司的经验证据,刘运国 吴小蒙 蒋涛,会计研究,2010-01-15,期刊,269,6436
175,生产性服务业对工业获利能力的影响和渠道——基于城市面板数据和SFA模型的实证研究,顾乃华,中国工业经济,2010-05-17,期刊,149,3859
176,超常规发展的机构投资者能稳定市场吗?——对我国基金业跨越式发展的反思,蔡庆丰 宋友勇,经济研究,2010-01-20,期刊,158,3535
177,人力资本对我国区域创新及经济增长的影响——基于空间计量的实证研究,钱晓烨 迟巍 黎波,数量经济技术经济研究,2010-04-05,期刊,125,4703
178,欧美对华反倾销措施的贸易效应:理论与经验研究,冯宗宪 向洪金,世界经济,2010-03-10,期刊,105,3700
179,国有企业的政府控制权转让研究,杨记军 逯东 杨丹,经济研究,2010-02-20,期刊,109,4726
180,中国企业对外直接投资的国家特定优势,裴长洪 樊瑛,中国工业经济,2010-07-17,期刊,116,4096
181,主观博弈论与制度内生演化,黄凯南,经济研究,2010-04-20,期刊,78,6756
182,基于数据包络分析的中国旅游业发展效率特征,陶卓民 薛献伟 管晶晶,地理学报,2010-08-15,期刊,110,2927
183,资产价格、汇率波动与最优利率规则,李成 王彬 马文涛,经济研究,2010-03-20,期刊,101,4658
184,政治关系、控股股东利益输送与民营企业绩效,潘红波 余明桂,南开管理评论,2010-08-08,期刊,135,2989
185,生产中碳排放效率长期决定及其收敛性分析,魏梅 曹明福 江金荣,数量经济技术经济研究,2010-09-05,期刊,110,1997
186,空间集聚与区域经济增长内生性研究——基于1995～2008年中国省域面板数据分析,陈得文 苗建军,数量经济技术经济研究,2010-09-05,期刊,79,3246
187,内部控制、盈余管理与审计意见,杨德明 胡婷,审计研究,2010-09-28,期刊,177,6409
188,广州市土地利用结构优化配置及其潜力,龚建周 刘彦随 张灵,地理学报,2010-11-15,期刊,62,3293
189,利润操纵行为影响会计稳健性吗?——基于季度盈余不同汇总方法的经验证据,肖成民 吕长江,会计研究,2010-09-15,期刊,76,3593
190,中国经济转轨过程中的要素价格扭曲与财富转移,张曙光 程炼,世界经济,2010-10-10,期刊,84,1685
191,硬信息和软信息框架下银行内部贷款审批权分配和激励机制设计——对中小企业融资问题的启示,徐忠 邹传伟,金融研究,2010-08-25,期刊,99,2879
192,宅基地使用权制度:规范解析、实践挑战及其立法回应,陈小君 蒋省三,管理世界,2010-10-15,期刊,109,3523
193,社会资本转换与农民工收入——来自北京农民工调查的证据,叶静怡 周晔馨,管理世界,2010-10-15,期刊,106,3645
194,关系对农村收入差距的贡献及其地区差异——一项基于回归的分解分析,赵剑治 陆铭,经济学(季刊),2009-10-15,期刊,143,3837
195,中国制造业的垂直专业化与出口增长,文东伟 冼国明,经济学(季刊),2010-01-15,期刊,115,2778
196,我国上市公司高管的薪酬存在粘性吗?,方军雄,经济研究,2009-03-20,期刊,807,10231
197,21世纪初中国土地利用变化的空间格局与驱动力分析,刘纪远 张增祥 徐新良 匡文慧 周万村 张树文 李仁东 颜长珍 于东升 吴世新 江南,地理学报,2009-12-15,期刊,362,7128
198,地区竞争格局演变下的中国转轨:财政激励和发展模式反思,陶然 陆曦 苏福兵 汪晖,经济研究,2009-07-20,期刊,410,6070
199,公司特征、外部审计与内部控制信息的自愿披露——基于沪市上市公司2003—2005年年报的经验研究,方红星 孙翯 金韵韵,会计研究,2009-10-15,期刊,412,7733
200,谁进入了高收入行业?——关系、户籍与生产率的作用,陈钊 陆铭 佐藤宏,经济研究,2009-10-20,期刊,209,5844
201,中国产业升级的大国雁阵模型分析,蔡昉 王德文 曲玥,经济研究,2009-09-20,期刊,350,8121
202,会计制度改革、盈余稳健性与盈余管理,毛新述 戴德明,会计研究,2009-12-15,期刊,228,6410
203,增值税与营业税的福利效应研究,平新乔 梁爽 郝朝艳 张海洋 毛亮,经济研究,2009-09-20,期刊,210,6598
204,我国上市商业银行全要素生产率的实证分析,蔡跃洲 郭梅军,经济研究,2009-09-20,期刊,212,4851
205,上市公司股权激励制度设计:是激励还是福利?,吕长江 郑慧莲 严明珠 许静静,管理世界,2009-09-15,期刊,509,12672
206,生产率增长与要素再配置效应:中国的经验研究,姚战琪,经济研究,2009-11-20,期刊,157,3796
207,中国地方政府竞争、预算软约束与扩张偏向的财政行为,方红生 张军,经济研究,2009-12-20,期刊,154,5223
208,FDI技术溢出、技术进步与技术效率——基于中国制造业1999～2007年面板数据的经验研究,王滨,数量经济技术经济研究,2010-02-05,期刊,173,4035
209,“十二五”时期工业结构调整和优化升级研究,中国社会科学院工业经济研究所课题组 李平,中国工业经济,2010-01-17,期刊,123,3466
210,金融发展与经济增长:生产率促进抑或资本形成,赵勇 雷达,世界经济,2010-02-10,期刊,172,3050
211,公司社会责任和环境会计的目标与理论基础——国外研究综述,沈洪涛,会计研究,2010-03-15,期刊,161,8542
212,定向增发新股、资产注入类型与上市公司绩效的关系——来自中国证券市场的经验证据,章卫东 李海川,会计研究,2010-03-15,期刊,203,5041
213,我国货币政策利率传导渠道的体制转换特征——利率市场化改革进程中的考察,姜再勇 钟正生,数量经济技术经济研究,2010-04-05,期刊,102,4792
214,关于计量经济学模型方法的思考,李子奈 齐良书,中国社会科学,2010-03-10,期刊,85,10429
215,出口品技术水平的决定性因素:来自跨国面板数据的证据,祝树金 戢璇 傅晓岚,世界经济,2010-04-10,期刊,134,2073
216,企业集团内部资本市场的存在性与效率性,杨棉之 孙健 卢闯,会计研究,2010-04-15,期刊,155,4472
217,网络零售中影响消费者购买意愿因素研究——基于信任与感知风险的分析,潘煜 张星 高丽,中国工业经济,2010-07-17,期刊,111,4945
218,社会融合与经济增长:城市化和城市发展的内生政策变迁,刘晓峰 陈钊 陆铭,世界经济,2010-06-10,期刊,78,3424
219,中国城市居民的分配公平感研究,马磊 刘欣,社会学研究,2010-09-20,期刊,61,3492
220,基于财务报告的内部控制缺陷披露影响因素研究,田高良 齐保垒 李留闯,南开管理评论,2010-08-08,期刊,269,5061
221,信用评级在中国债券市场的影响力,何平 金梦,金融研究,2010-04-25,期刊,139,6472
222,基于网络层次分析法的农村土地流转经济绩效评价,岳意定 刘莉君,中国农村经济,2010-08-30,期刊,86,3711
223,公共财政与中国国民收入的高储蓄倾向,徐忠 张雪春 丁志杰 唐天,中国社会科学,2010-11-10,期刊,51,2490
224,治理环境、超额持有现金与过度投资——基于我国上市公司面板数据的分析,杨兴全 张照南 吴昊旻,南开管理评论,2010-10-08,期刊,180,2867
225,道德风险、监督结构与农村融资机制设计——兼论我国农村金融体系改革,洪正 王万峰 周轶海,金融研究,2010-05-25,期刊,92,4165
226,工业二氧化碳的影子价格:参数化和非参数化方法,陈诗一,世界经济,2010-08-10,期刊,79,2252
227,工业和服务外包对中国工业生产率的影响,姚战琪,经济研究,2010-07-20,期刊,75,3003
228,城镇居民的间接税负担:基于投入产出表的估算,聂海峰 刘怡,经济研究,2010-07-20,期刊,68,2659
229,声誉、制度环境与债务融资——基于中国民营上市公司的证据,叶康涛 张然 徐浩萍,金融研究,2010-08-25,期刊,97,3464
230,企业高管自利行为及其影响因素研究——基于我国上市公司股权激励草案的证据,吴育辉 吴世农,管理世界,2010-05-15,期刊,287,8423
231,中国食品价格上涨因素及其对总体通货膨胀的影响,张文朗 罗得恩,金融研究,2010-09-25,期刊,68,2396
232,基于两阶段关联DEA模型的我国商业银行效率评价,周逢民 张会元 周海 孙佰清,金融研究,2010-11-25,期刊,88,3116
